sample_id,source_mat_id,Extraction Number,imos_project,nrs_sample_code,samp_size,sample_volume_notes,sample_integrity_warnings,notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,QC_flag
102.100.100/27138,102.100.100/27138,,NRS,MAI20140821_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,6.556,meth_3.3.1,1.83,meth_3.3.1,1
102.100.100/27139,102.100.100/27139,,NRS,MAI20140821_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,5.225,meth_3.3.1,1.87,meth_3.3.1,1
102.100.100/27140,102.100.100/27140,,NRS,MAI20140821_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,7.346,meth_3.3.1,2.12,meth_3.3.1,1
102.100.100/27141,102.100.100/27141,,NRS,MAI20140821_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,7.049,meth_3.3.1,1.87,meth_3.3.1,1
102.100.100/27142,102.100.100/27142,,NRS,MAI20140821_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,4.935,meth_3.3.1,1.73,meth_3.3.1,1
102.100.100/27143,102.100.100/27143,,NRS,MAI20140915_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.789,meth_3.3.1,1.77,meth_3.3.1,1
102.100.100/27144,102.100.100/27144,,NRS,MAI20140915_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,17.05,meth_3.3.1,2.1,meth_3.3.1,1
102.100.100/27145,102.100.100/27145,,NRS,MAI20140915_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.595,meth_3.3.1,1.87,meth_3.3.1,1
102.100.100/27146,102.100.100/27146,,NRS,MAI20140915_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,11.72,meth_3.3.1,1.85,meth_3.3.1,1
102.100.100/27147,102.100.100/27147,,NRS,MAI20140915_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,7.62,meth_3.3.1,2,meth_3.3.1,1
102.100.100/27148,102.100.100/27148,,NRS,MAI20140915_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.899,meth_3.3.1,2.1,meth_3.3.1,1
102.100.100/27149,102.100.100/27149,,NRS,MAI20141029_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,13.15,meth_3.3.1,1.78,meth_3.3.1,1
102.100.100/27150,102.100.100/27150,,NRS,MAI20141029_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,6.224,meth_3.3.1,1.79,meth_3.3.1,1
102.100.100/27151,102.100.100/27151,,NRS,MAI20141029_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,9.54,meth_3.3.1,2.13,meth_3.3.1,1
102.100.100/27152,102.100.100/27152,,NRS,MAI20141029_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,11.5,meth_3.3.1,2.12,meth_3.3.1,1
102.100.100/27153,102.100.100/27153,,NRS,MAI20141029_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,11.99,meth_3.3.1,2.15,meth_3.3.1,1
102.100.100/27154,102.100.100/27154,,NRS,MAI20141029_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,13.35,meth_3.3.1,2.19,meth_3.3.1,1
102.100.100/27155,102.100.100/27155,,NRS,MAI20141127_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,10.42,meth_3.3.1,2.08,meth_3.3.1,1
102.100.100/27156,102.100.100/27156,,NRS,MAI20141127_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.945,meth_3.3.1,2.06,meth_3.3.1,1
102.100.100/27157,102.100.100/27157,,NRS,MAI20141127_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,9.097,meth_3.3.1,1.93,meth_3.3.1,1
102.100.100/27158,102.100.100/27158,,NRS,MAI20141127_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,4.17,meth_3.3.1,2.08,meth_3.3.1,1
102.100.100/27159,102.100.100/27159,,NRS,MAI20141127_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,3.296,meth_3.3.1,2.06,meth_3.3.1,1
102.100.100/27160,102.100.100/27160,,NRS,MAI20141127_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,5.231,meth_3.3.1,1.85,meth_3.3.1,1
102.100.100/27161,102.100.100/27161,,NRS,MAI20141208_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,14.79,meth_3.3.1,1.86,meth_3.3.1,1
102.100.100/27162,102.100.100/27162,,NRS,MAI20141208_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,20.28,meth_3.3.1,1.88,meth_3.3.1,1
102.100.100/27163,102.100.100/27163,,NRS,MAI20141208_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,22.08,meth_3.3.1,1.91,meth_3.3.1,1
102.100.100/27164,102.100.100/27164,,NRS,MAI20141208_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,15.16,meth_3.3.1,1.89,meth_3.3.1,1
102.100.100/27165,102.100.100/27165,,NRS,MAI20141208_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,4.387,meth_3.3.1,2.2,meth_3.3.1,1
102.100.100/27166,102.100.100/27166,,NRS,MAI20141208_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,9.666,meth_3.3.1,2.24,meth_3.3.1,1
102.100.100/27167,102.100.100/27167,,NRS,MAI20150224_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,14.18,meth_3.3.1,1.9,meth_3.3.1,1
102.100.100/27168,102.100.100/27168,,NRS,MAI20150224_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,15.91,meth_3.3.1,2.16,meth_3.3.1,1
102.100.100/27169,102.100.100/27169,,NRS,MAI20150224_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,25.49,meth_3.3.1,1.97,meth_3.3.1,1
102.100.100/27170,102.100.100/27170,,NRS,MAI20150224_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.876,meth_3.3.1,1.93,meth_3.3.1,1
102.100.100/27171,102.100.100/27171,,NRS,MAI20150224_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,4.284,meth_3.3.1,2.31,meth_3.3.1,1
102.100.100/27172,102.100.100/27172,,NRS,MAI20150224_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,8.636,meth_3.3.1,1.91,meth_3.3.1,1
102.100.100/27173,102.100.100/27173,,NRS,MAI20150312_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,12.19,meth_3.3.1,1.96,meth_3.3.1,1
102.100.100/27174,102.100.100/27174,,NRS,MAI20150312_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,15.08,meth_3.3.1,1.83,meth_3.3.1,1
102.100.100/27175,102.100.100/27175,,NRS,MAI20150312_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,17.41,meth_3.3.1,1.98,meth_3.3.1,1
102.100.100/27176,102.100.100/27176,,NRS,MAI20150312_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,14.3,meth_3.3.1,1.83,meth_3.3.1,1
102.100.100/27177,102.100.100/27177,,NRS,MAI20150312_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,13.12,meth_3.3.1,1.9,meth_3.3.1,1
102.100.100/27178,102.100.100/27178,,NRS,MAI20150312_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,14.35,meth_3.3.1,1.84,meth_3.3.1,1
102.100.100/21826,102.100.100/21826,,NRS,MAI20150421_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21827,102.100.100/21827,,NRS,MAI20150421_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21828,102.100.100/21828,,NRS,MAI20150421_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21829,102.100.100/21829,,NRS,MAI20150421_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21830,102.100.100/21830,,NRS,MAI20150421_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21831,102.100.100/21831,,NRS,MAI20150421_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21832,102.100.100/21832,,NRS,MAI20150526_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21833,102.100.100/21833,,NRS,MAI20150526_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21834,102.100.100/21834,,NRS,MAI20150526_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21835,102.100.100/21835,,NRS,MAI20150526_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21836,102.100.100/21836,,NRS,MAI20150526_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21837,102.100.100/21837,,NRS,MAI20150526_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21892,102.100.100/21892,,NRS,MAI20150723_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21893,102.100.100/21893,,NRS,MAI20150723_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21894,102.100.100/21894,,NRS,MAI20150723_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21895,102.100.100/21895,,NRS,MAI20150723_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21896,102.100.100/21896,,NRS,MAI20150723_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21897,102.100.100/21897,,NRS,MAI20150723_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21904,102.100.100/21904,,NRS,MAI20150811_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21905,102.100.100/21905,,NRS,MAI20150811_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21906,102.100.100/21906,,NRS,MAI20150811_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21907,102.100.100/21907,,NRS,MAI20150811_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21908,102.100.100/21908,,NRS,MAI20150811_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21909,102.100.100/21909,,NRS,MAI20150811_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21916,102.100.100/21916,,NRS,MAI20151001_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21917,102.100.100/21917,,NRS,MAI20151001_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21918,102.100.100/21918,,NRS,MAI20151001_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21919,102.100.100/21919,,NRS,MAI20151001_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21920,102.100.100/21920,,NRS,MAI20151001_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21921,102.100.100/21921,,NRS,MAI20151001_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21928,102.100.100/21928,,NRS,MAI20151118_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21929,102.100.100/21929,,NRS,MAI20151118_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21930,102.100.100/21930,,NRS,MAI20151118_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21931,102.100.100/21931,,NRS,MAI20151118_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21932,102.100.100/21932,,NRS,MAI20151118_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/21933,102.100.100/21933,,NRS,MAI20151118_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34139,102.100.100/34139,,NRS,MAI20151216_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,38.08,meth_3.3.1,1.75,meth_3.3.1,1
102.100.100/34140,102.100.100/34140,,NRS,MAI20151216_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,29.1,meth_3.3.1,1.79,meth_3.3.1,1
102.100.100/34141,102.100.100/34141,,NRS,MAI20151216_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,45.79,meth_3.3.1,1.8,meth_3.3.1,1
102.100.100/34142,102.100.100/34142,,NRS,MAI20151216_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,26.06,meth_3.3.1,1.78,meth_3.3.1,1
102.100.100/34143,102.100.100/34143,,NRS,MAI20151216_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,17.7,meth_3.3.1,1.8,meth_3.3.1,1
102.100.100/34144,102.100.100/34144,,NRS,MAI20151216_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,19.81,meth_3.3.1,1.6,meth_3.3.1,1
102.100.100/34145,102.100.100/34145,,NRS,MAI20160209_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,36.23,meth_3.3.1,1.82,meth_3.3.1,1
102.100.100/34146,102.100.100/34146,,NRS,MAI20160209_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,54.01,meth_3.3.1,1.83,meth_3.3.1,1
102.100.100/34147,102.100.100/34147,,NRS,MAI20160209_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,50.29,meth_3.3.1,1.85,meth_3.3.1,1
102.100.100/34148,102.100.100/34148,,NRS,MAI20160209_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,58.69,meth_3.3.1,1.77,meth_3.3.1,1
102.100.100/34149,102.100.100/34149,,NRS,MAI20160209_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,40.96,meth_3.3.1,1.63,meth_3.3.1,1
102.100.100/34150,102.100.100/34150,,NRS,MAI20160209_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,27.5,meth_3.3.1,1.7,meth_3.3.1,1
102.100.100/34151,102.100.100/34151,,NRS,MAI20160303_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,109.4,meth_3.3.1,1.69,meth_3.3.1,1
102.100.100/34152,102.100.100/34152,,NRS,MAI20160303_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,21.61,meth_3.3.1,1.98,meth_3.3.1,1
102.100.100/34153,102.100.100/34153,,NRS,MAI20160303_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,21.03,meth_3.3.1,2.07,meth_3.3.1,1
102.100.100/34154,102.100.100/34154,,NRS,MAI20160303_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,21.43,meth_3.3.1,2.03,meth_3.3.1,1
102.100.100/34155,102.100.100/34155,,NRS,MAI20160303_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,21.82,meth_3.3.1,1.96,meth_3.3.1,1
102.100.100/34156,102.100.100/34156,,NRS,MAI20160303_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,7.903,meth_3.3.1,2.23,meth_3.3.1,1
102.100.100/34157,102.100.100/34157,,NRS,MAI20160321_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,15.31,meth_3.3.1,1.73,meth_3.3.1,1
102.100.100/34158,102.100.100/34158,,NRS,MAI20160321_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,32.7,meth_3.3.1,1.85,meth_3.3.1,1
102.100.100/34159,102.100.100/34159,,NRS,MAI20160321_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,24.84,meth_3.3.1,2.02,meth_3.3.1,1
102.100.100/34160,102.100.100/34160,,NRS,MAI20160321_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,25.34,meth_3.3.1,1.89,meth_3.3.1,1
102.100.100/34161,102.100.100/34161,,NRS,MAI20160321_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,16.92,meth_3.3.1,1.94,meth_3.3.1,1
102.100.100/34162,102.100.100/34162,,NRS,MAI20160321_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,15.31,meth_3.3.1,1.79,meth_3.3.1,1
102.100.100/34787,102.100.100/34787,,NRS,MAI20160428_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34788,102.100.100/34788,,NRS,MAI20160428_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34789,102.100.100/34789,,NRS,MAI20160428_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34790,102.100.100/34790,,NRS,MAI20160428_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34791,102.100.100/34791,,NRS,MAI20160428_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34792,102.100.100/34792,,NRS,MAI20160428_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34268,102.100.100/34268,,NRS,MAI20160530_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,23.26,meth_3.3.1,4.76,meth_3.3.1,1
102.100.100/34269,102.100.100/34269,,NRS,MAI20160530_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,12.71,meth_3.3.1,1.86,meth_3.3.1,1
102.100.100/34270,102.100.100/34270,,NRS,MAI20160530_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,19.24,meth_3.3.1,1.98,meth_3.3.1,1
102.100.100/34271,102.100.100/34271,,NRS,MAI20160530_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,17.84,meth_3.3.1,3.27,meth_3.3.1,1
102.100.100/34272,102.100.100/34272,,NRS,MAI20160530_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,11.97,meth_3.3.1,2.89,meth_3.3.1,1
102.100.100/34273,102.100.100/34273,,NRS,MAI20160530_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,16.27,meth_3.3.1,2.08,meth_3.3.1,1
102.100.100/34793,102.100.100/34793,,NRS,MAI20160630_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34794,102.100.100/34794,,NRS,MAI20160630_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34795,102.100.100/34795,,NRS,MAI20160630_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34796,102.100.100/34796,,NRS,MAI20160630_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34797,102.100.100/34797,,NRS,MAI20160630_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34798,102.100.100/34798,,NRS,MAI20160630_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34799,102.100.100/34799,,NRS,MAI20160720_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34800,102.100.100/34800,,NRS,MAI20160720_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34801,102.100.100/34801,,NRS,MAI20160720_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34802,102.100.100/34802,,NRS,MAI20160720_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34803,102.100.100/34803,,NRS,MAI20160720_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34804,102.100.100/34804,,NRS,MAI20160720_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34805,102.100.100/34805,,NRS,MAI20160831_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34806,102.100.100/34806,,NRS,MAI20160831_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34807,102.100.100/34807,,NRS,MAI20160831_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34808,102.100.100/34808,,NRS,MAI20160831_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34809,102.100.100/34809,,NRS,MAI20160831_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34810,102.100.100/34810,,NRS,MAI20160831_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35394,102.100.100/35394,,NRS,MAI20160927_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35395,102.100.100/35395,,NRS,MAI20160927_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35396,102.100.100/35396,,NRS,MAI20160927_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35397,102.100.100/35397,,NRS,MAI20160927_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35398,102.100.100/35398,,NRS,MAI20160927_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35399,102.100.100/35399,,NRS,MAI20160927_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34811,102.100.100/34811,,NRS,MAI20161117_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34812,102.100.100/34812,,NRS,MAI20161117_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34813,102.100.100/34813,,NRS,MAI20161117_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34814,102.100.100/34814,,NRS,MAI20161117_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34815,102.100.100/34815,,NRS,MAI20161117_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/34816,102.100.100/34816,,NRS,MAI20161117_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35400,102.100.100/35400,,NRS,MAI20170104_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35401,102.100.100/35401,,NRS,MAI20170104_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35402,102.100.100/35402,,NRS,MAI20170104_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35403,102.100.100/35403,,NRS,MAI20170104_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35404,102.100.100/35404,,NRS,MAI20170104_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35405,102.100.100/35405,,NRS,MAI20170104_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35406,102.100.100/35406,,NRS,MAI20170223_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35407,102.100.100/35407,,NRS,MAI20170223_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35408,102.100.100/35408,,NRS,MAI20170223_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35409,102.100.100/35409,,NRS,MAI20170223_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35410,102.100.100/35410,,NRS,MAI20170223_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35411,102.100.100/35411,,NRS,MAI20170223_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35412,102.100.100/35412,,NRS,MAI20170323_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35413,102.100.100/35413,,NRS,MAI20170323_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35414,102.100.100/35414,,NRS,MAI20170323_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35415,102.100.100/35415,,NRS,MAI20170323_50,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35416,102.100.100/35416,,NRS,MAI20170323_75,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35417,102.100.100/35417,,NRS,MAI20170323_85,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35418,102.100.100/35418,,NRS,MAI20170412_0,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35419,102.100.100/35419,,NRS,MAI20170412_10,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
102.100.100/35420,102.100.100/35420,,NRS,MAI20170412_20,2,Other - not recorded in field log sheets| assume 2 L as per protocol,,,-9999,-9999,-9999,-9999,1
