sample_id,source_mat_id,Extraction Number,imos_project,nrs_sample_code,samp_size,sample_volume_notes,sample_integrity_warnings,notes,dna_concentration_submitter,dna_concentration_submitter_meth,absorbance_260_280_ratio_submitter,absorbance_260_280_ratio_submitter_meth,QC_flag
102.100.100/34779,102.100.100/34779,,NRS,DAR20160724_0730_10,0.925,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34780,102.100.100/34780,,NRS,DAR20160724_0730_18,0.6,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34784,102.100.100/34784,,NRS,DAR20161107_0,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34785,102.100.100/34785,,NRS,DAR20161107_10,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/34786,102.100.100/34786,,NRS,DAR20161107_15,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35355,102.100.100/35355,,NRS,DAR20170202_2130_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35356,102.100.100/35356,,NRS,DAR20170202_2130_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35357,102.100.100/35357,,NRS,DAR20170202_2130_19.5,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35364,102.100.100/35364,,NRS,DAR20170203_0030_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35365,102.100.100/35365,,NRS,DAR20170203_0030_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35366,102.100.100/35366,,NRS,DAR20170203_0030_18.5,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35361,102.100.100/35361,,NRS,DAR20170203_0330_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35362,102.100.100/35362,,NRS,DAR20170203_0330_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35363,102.100.100/35363,,NRS,DAR20170203_0330_19.5,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35358,102.100.100/35358,,NRS,DAR20170203_0630_0,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35359,102.100.100/35359,,NRS,DAR20170203_0630_10,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35360,102.100.100/35360,,NRS,DAR20170203_0630_18,0.3,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35367,102.100.100/35367,,NRS,DAR20170516_0,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35368,102.100.100/35368,,NRS,DAR20170516_10,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35369,102.100.100/35369,,NRS,DAR20170516_17,1.1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35373,102.100.100/35373,,NRS,DAR20170714_2130_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35374,102.100.100/35374,,NRS,DAR20170714_2130_10,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35375,102.100.100/35375,,NRS,DAR20170714_2130_17,1,High biomass/particulate matter| Mechanical breakage - tubing leak,,,-9999,-9999,-9999,-9999,1
102.100.100/35376,102.100.100/35376,,NRS,DAR20170715_0030_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35377,102.100.100/35377,,NRS,DAR20170715_0030_10,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35378,102.100.100/35378,,NRS,DAR20170715_0030_19,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35379,102.100.100/35379,,NRS,DAR20170715_0330_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35380,102.100.100/35380,,NRS,DAR20170715_0330_10,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35381,102.100.100/35381,,NRS,DAR20170715_0330_17,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35370,102.100.100/35370,,NRS,DAR20170715_0630_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35371,102.100.100/35371,,NRS,DAR20170715_0630_10,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/35372,102.100.100/35372,,NRS,DAR20170715_0630_15,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/139714,102.100.100/139714,519,NRS,DAR20171009_0,0.75,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141156,102.100.100/141156,1002,NRS,DAR20171009_17,0.75,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141120,102.100.100/141120,977,NRS,DAR20180208_2130_0,1.9,Low biomass/particulate matte,,,-9999,-9999,-9999,-9999,1
102.100.100/141157,102.100.100/141157,979,NRS,DAR20180208_2130_17,1.9,Low biomass/particulate matte,,,-9999,-9999,-9999,-9999,1
102.100.100/141121,102.100.100/141121,980,NRS,DAR20180209_0030_0,1.65,Low biomass/particulate matte,,,-9999,-9999,-9999,-9999,1
102.100.100/141158,102.100.100/141158,982,NRS,DAR20180209_0030_19,1.6,Low biomass/particulate matte,,,-9999,-9999,-9999,-9999,1
102.100.100/405125,102.100.100/405125,983,NRS,DAR20180209_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405127,102.100.100/405127,985,NRS,DAR20180209_0330_19,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405126,102.100.100/405126,986,NRS,DAR20180209_0630_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405128,102.100.100/405128,988,NRS,DAR20180209_0630_18,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/139715,102.100.100/139715,520,NRS,DAR20180509_0,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141159,102.100.100/141159,1004,NRS,DAR20180509_17,1,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141122,102.100.100/141122,989,NRS,DAR20180730_2130_0,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/141160,102.100.100/141160,991,NRS,DAR20180730_2130_22,0.7,High biomass/particulate matter,,,-9999,-9999,-9999,-9999,1
102.100.100/405129,102.100.100/405129,992,NRS,DAR20180731_0030_0,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405133,102.100.100/405133,994,NRS,DAR20180731_0030_20,-9999,,,,-9999,-9999,-9999,-9999,1
102.100.100/405130,102.100.100/405130,995,NRS,DAR20180731_0330_0,-9999,,,,-9999,-9999,-9999,-9999,1
